Series Name,Series Code,Country Name,Country Code,Inflation
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Afghanistan,AFG,4.604334009
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Albania,ALB,1.63403338
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Algeria,DZA,2.916406413
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,American Samoa,ASM,
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Andorra,ADO,
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Angola,AGO,7.279561541
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Antigua and Barbuda,ATG,1.089441574
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Argentina,ARG,
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Armenia,ARM,2.980988073
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Aruba,ABW,0.420998172
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Australia,AUS,2.487922705
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Austria,AUT,1.605805605
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Azerbaijan,AZE,
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,"Bahamas, The",BHS,1.504464399
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Bahrain,BHR,2.766826246
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Bangladesh,BGD,6.991165327
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Barbados,BRB,1.887170246
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Belarus,BLR,
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Belgium,BEL,0.34
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Belize,BLZ,0.910664742
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Benin,BEN,-1.087211691
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Bermuda,BMU,
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Bhutan,BTN,8.206545146
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Bolivia,BOL,5.783563722
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Bosnia and Herzegovina,BIH,-0.930232558
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Botswana,BWA,4.40313594
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Brazil,BRA,6.332092342
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Brunei Darussalam,BRN,-0.194426292
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Bulgaria,BGR,-1.418122662
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Burkina Faso,BFA,-0.244138733
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Burundi,BDI,4.379840041
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Cambodia,KHM,3.855238553
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Cameroon,CMR,1.947948268
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Canada,CAN,1.906635907
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Cabo Verde,CPV,-0.243630795
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Cayman Islands,CYM,
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Central African Republic,CAF,
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Chad,TCD,1.680835875
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Channel Islands,CHI,
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Chile,CHL,4.395
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,China,CHN,1.996847084
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Colombia,COL,2.877810251
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Comoros,COM,
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,"Congo, Dem. Rep.",ZAR,
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,"Congo, Rep.",COG,0.077160494
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Costa Rica,CRI,4.515312677
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Cote d'Ivoire,CIV,0.461945553
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Croatia,HRV,-0.208172706
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Cuba,CUB,
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Curacao,CUW,
